,Date,Male_Earnings_Full_Time_$,Male_Earnings_Total_$,Female_Earnings_Full_Time_$,Female_Earnings_Total_$,People_Earnings_Full_Time_$,People_Earnings_Total_$,Employed_Total_Persons_thousands,Employed_Total_Males_thousands,Employed_Total_Females_thousands,Employed_Full_Time_Persons_thousands,Employed_Full_Time_Males_thousands,Employed_Full_Time_Females_thousands,Retail_Turnover_WA_$millions
<<<<<<< HEAD
0,May-2012,1826.70,1556.10,1266.90,834.30,1635.20,1204.50,1300.3,728.0,572.4,941.2,633.5,307.7,2589.8
1,Nov-2012,1888.50,1614.90,1298.90,847.30,1692.40,1244.00,1314.3,729.2,585.2,951.2,631.8,319.5,2652.7
2,May-2013,1935.70,1664.30,1350.50,889.60,1740.50,1297.90,1298.0,730.8,567.2,936.7,630.2,306.6,2705.4
3,Nov-2013,1869.00,1619.20,1363.00,917.10,1705.90,1296.30,1306.2,732.1,574.1,928.5,618.8,309.6,2725.6
4,May-2014,1919.70,1637.90,1359.60,933.30,1736.80,1314.30,1305.6,729.2,576.4,924.7,617.0,307.6,2706.0
5,Nov-2014,1989.20,1686.60,1389.90,953.80,1792.90,1346.70,1323.6,737.3,586.3,944.6,635.1,309.4,2761.5
6,May-2015,1987.80,1682.70,1395.90,955.30,1784.80,1340.00,1334.0,736.3,597.8,942.0,617.2,324.8,2799.8
7,Nov-2015,1993.80,1633.10,1429.40,964.10,1806.00,1326.80,1309.2,724.7,584.5,907.1,608.6,298.5,2830.7
8,May-2016,1976.80,1635.70,1422.80,944.30,1795.30,1319.70,1311.9,712.9,599.1,878.9,588.9,290.0,2818.5
9,Nov-2016,1989.60,1637.70,1432.50,982.80,1798.50,1327.60,1296.2,703.4,592.8,875.4,578.4,297.0,2820.8
10,May-2017,1965.70,1637.20,1450.00,978.00,1795.50,1333.20,1319.0,716.9,602.1,903.1,589.8,313.3,2846.4
11,Nov-2017,1996.20,1654.80,1477.10,975.30,1824.80,1332.50,1327.7,718.2,609.5,900.5,587.1,313.4,2837.2
12,May-2018,1996.30,1642.90,1481.50,967.70,1820.90,1320.40,1340.2,723.9,616.3,907.6,598.8,308.8,2832.7
13,Nov-2018,2040.00,1640.70,1495.30,965.90,1845.10,1299.30,1346.1,729.7,616.4,936.1,614.1,322.0,2846.3
14,May-2019,2030.50,1643.70,1528.30,962.20,1858.10,1311.00,1348.3,728.9,619.4,925.7,601.2,324.5,2857.0
15,Nov-2019,2042.20,1691.40,1515.80,988.30,1858.60,1334.90,1364.1,734.7,629.4,924.6,599.2,325.4,2932.7
16,May-2020,2092.60,1726.70,1567.00,1064.50,1910.60,1409.40,1282.5,697.5,584.9,901.3,585.7,315.6,3224.8
17,Nov-2020,2085.50,1724.30,1563.50,1001.60,1908.00,1362.20,1378.6,738.0,640.5,918.3,608.7,309.7,3405.4
18,May-2021,2138.10,1781.50,1613.00,1055.70,1961.50,1438.80,1395.0,740.6,654.4,916.7,600.3,316.4,3421.5
19,Nov-2021,2159.00,1809.20,1639.00,1061.10,1979.20,1432.90,1448.6,770.4,678.2,974.3,626.8,347.5,3650.0
20,May-2022,2201.90,1810.50,1660.90,1139.70,2011.80,1491.50,1472.7,786.6,686.1,1015.2,651.0,364.3,3749.0
=======
0,2012-05-01,1826.7,1556.1,1266.9,834.3,1635.2,1204.5,1300.3,728.0,572.4,941.2,633.5,307.7,2589.8
1,2012-11-01,1888.5,1614.9,1298.9,847.3,1692.4,1244.0,1314.3,729.2,585.2,951.2,631.8,319.5,2652.7
2,2013-05-01,1935.7,1664.3,1350.5,889.6,1740.5,1297.9,1298.0,730.8,567.2,936.7,630.2,306.6,2705.4
3,2013-11-01,1869.0,1619.2,1363.0,917.1,1705.9,1296.3,1306.2,732.1,574.1,928.5,618.8,309.6,2725.6
4,2014-05-01,1919.7,1637.9,1359.6,933.3,1736.8,1314.3,1305.6,729.2,576.4,924.7,617.0,307.6,2706.0
5,2014-11-01,1989.2,1686.6,1389.9,953.8,1792.9,1346.7,1323.6,737.3,586.3,944.6,635.1,309.4,2761.5
6,2015-05-01,1987.8,1682.7,1395.9,955.3,1784.8,1340.0,1334.0,736.3,597.8,942.0,617.2,324.8,2799.8
7,2015-11-01,1993.8,1633.1,1429.4,964.1,1806.0,1326.8,1309.2,724.7,584.5,907.1,608.6,298.5,2830.7
8,2016-05-01,1976.8,1635.7,1422.8,944.3,1795.3,1319.7,1311.9,712.9,599.1,878.9,588.9,290.0,2818.5
9,2016-11-01,1989.6,1637.7,1432.5,982.8,1798.5,1327.6,1296.2,703.4,592.8,875.4,578.4,297.0,2820.8
10,2017-05-01,1965.7,1637.2,1450.0,978.0,1795.5,1333.2,1319.0,716.9,602.1,903.1,589.8,313.3,2846.4
11,2017-11-01,1996.2,1654.8,1477.1,975.3,1824.8,1332.5,1327.7,718.2,609.5,900.5,587.1,313.4,2837.2
12,2018-05-01,1996.3,1642.9,1481.5,967.7,1820.9,1320.4,1340.2,723.9,616.3,907.6,598.8,308.8,2832.7
13,2018-11-01,2040.0,1640.7,1495.3,965.9,1845.1,1299.3,1346.1,729.7,616.4,936.1,614.1,322.0,2846.3
14,2019-05-01,2030.5,1643.7,1528.3,962.2,1858.1,1311.0,1348.3,728.9,619.4,925.7,601.2,324.5,2857.0
15,2019-11-01,2042.2,1691.4,1515.8,988.3,1858.6,1334.9,1364.1,734.7,629.4,924.6,599.2,325.4,2932.7
16,2020-05-01,2092.6,1726.7,1567.0,1064.5,1910.6,1409.4,1282.5,697.5,584.9,901.3,585.7,315.6,3224.8
17,2020-11-01,2085.5,1724.3,1563.5,1001.6,1908.0,1362.2,1378.6,738.0,640.5,918.3,608.7,309.7,3405.4
18,2021-05-01,2138.1,1781.5,1613.0,1055.7,1961.5,1438.8,1395.0,740.6,654.4,916.7,600.3,316.4,3421.5
19,2021-11-01,2159.0,1809.2,1639.0,1061.1,1979.2,1432.9,1448.6,770.4,678.2,974.3,626.8,347.5,3650.0
20,2022-05-01,2201.9,1810.5,1660.9,1139.7,2011.8,1491.5,1472.7,786.6,686.1,1015.2,651.0,364.3,3749.0
>>>>>>> 7c5bdc4afcc5591c89c48a5b45a13a73e340a4ad
